date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:45:11	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Mar%202020%2002:44:16%20GMT	https://affiliaya.github.io/offerus/wp-content/uploads/2020/03/favicon-16x16-1.png	F:/Website%20Code%20Copy/Sastec/affiliaya.github.io/offerus/wp-content/uploads/2020/03/favicon-16x16-1.png	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:11	593/593	---M--	200	added ('OK')	image/png	etag:%225e7065a9-251%22	https://affiliaya.itproffer.design/wp-content/uploads/2020/03/favicon-16x16-1.png	F:/Website%20Code%20Copy/Sastec/affiliaya.itproffer.design/wp-content/uploads/2020/03/favicon-16x16-1.png	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:14	173797/173797	---M--	200	added ('OK')	image/png	etag:%22b13a38e323ed351f77b9d640d9bc6db5%22	https://i.imgur.com/1j7ajZo.png	F:/Website%20Code%20Copy/Sastec/i.imgur.com/1j7ajZo.png	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:14	4687/4687	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Aug%202019%2016:24:22%20GMT	https://science.leptitox.com/i/headblock_fb.png	F:/Website%20Code%20Copy/Sastec/science.leptitox.com/i/headblock_fb.png	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:15	19268/19268	---M--	200	added ('OK')	image/gif	etag:%2269a7605672a6981c4824888740b2e482%22	https://i.imgur.com/lXaHIzq.gif	F:/Website%20Code%20Copy/Sastec/i.imgur.com/lXaHIzq.gif	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:16	51417/51417	---M--	200	added ('OK')	image/png	etag:%22b689d57970ee90a954a873b17065d843%22	https://i.imgur.com/fNqLx2r.png	F:/Website%20Code%20Copy/Sastec/i.imgur.com/fNqLx2r.png	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:17	184173/184173	---M--	200	added ('OK')	image/gif	etag:%2298c31bd872ce53bf3770e23d8d122366%22	https://i.imgur.com/yFxpfX7.gif	F:/Website%20Code%20Copy/Sastec/i.imgur.com/yFxpfX7.gif	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:17	4981/4981	---M--	200	added ('OK')	image/png	etag:%22cb29d9e9b96ef28486041af841f02517%22	https://i.imgur.com/pgkE2Kw.png	F:/Website%20Code%20Copy/Sastec/i.imgur.com/pgkE2Kw.png	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:18	73426/73426	---M--	200	added ('OK')	image/png	etag:%225c39699cc7c1db2614d6aa13a7126028%22	https://i.imgur.com/L2dgDKU.png	F:/Website%20Code%20Copy/Sastec/i.imgur.com/L2dgDKU.png	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:18	7980/7980	---M--	200	added ('OK')	image/png	etag:%2274f52e3bbdc4e414958c87de39da3317%22	https://i.imgur.com/07QaV0T.png	F:/Website%20Code%20Copy/Sastec/i.imgur.com/07QaV0T.png	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:18	82116/82116	---M--	200	added ('OK')	image/png	etag:%22d479928df134a26349d6b1f13f3ea4bf%22	https://i.imgur.com/BEWFpN3.png	F:/Website%20Code%20Copy/Sastec/i.imgur.com/BEWFpN3.png	(from https://affiliaya.itproffer.design/saspreselltec/)
08:45:18	46005/46005	---M--	200	added ('OK')	image/png	etag:%22fdc793be060b71c00c6657c99f65edba%22	https://i.imgur.com/BX8RsB5.png	F:/Website%20Code%20Copy/Sastec/i.imgur.com/BX8RsB5.png	(from https://affiliaya.itproffer.design/saspreselltec/)
