date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:18	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:19%20GMT	https://affiliaya.github.io/offerus/wp-content/uploads/2020/03/favicon-16x16-1.png	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-content/uploads/2020/03/favicon-16x16-1.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:18	593/593	---M--	200	added ('OK')	image/png	etag:%225e8477a5-251%22	https://affiliaya.itproffer.design/wp-content/uploads/2020/03/favicon-16x16-1.png	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-content/uploads/2020/03/favicon-16x16-1.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:20	4760/4760	---M--	200	added ('OK')	image/png	etag:%225f8ada0-12da-5907ac5c78551%22	https://science.leptitox.com/i/headblock_fb.png	F:/Website%20Code%20Copy/Sasoutbreak/science.leptitox.com/i/headblock_fb.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:20	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225cc35e4c-247b%22	https://affiliaya.itproffer.design/superaffoutbreak/%22https://affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/editor/css/images/resp-video-preview/video-preview-placeholder.jpg%22	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/superaffoutbreak/_https_/affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/editor/css/images/resp-video-preview/video-preview-placeholder.jpg_	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:21	19268/19268	---M--	200	added ('OK')	image/gif	etag:%2269a7605672a6981c4824888740b2e482%22	https://i.imgur.com/lXaHIzq.gif	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/lXaHIzq.gif	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:22	173797/173797	---M--	200	added ('OK')	image/png	etag:%22b13a38e323ed351f77b9d640d9bc6db5%22	https://i.imgur.com/1j7ajZo.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/1j7ajZo.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:24	51417/51417	---M--	200	added ('OK')	image/png	etag:%22b689d57970ee90a954a873b17065d843%22	https://i.imgur.com/fNqLx2r.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/fNqLx2r.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:25	4981/4981	---M--	200	added ('OK')	image/png	etag:%22cb29d9e9b96ef28486041af841f02517%22	https://i.imgur.com/pgkE2Kw.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/pgkE2Kw.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:25	184173/184173	---M--	200	added ('OK')	image/gif	etag:%2298c31bd872ce53bf3770e23d8d122366%22	https://i.imgur.com/yFxpfX7.gif	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/yFxpfX7.gif	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:26	73426/73426	---M--	200	added ('OK')	image/png	etag:%225c39699cc7c1db2614d6aa13a7126028%22	https://i.imgur.com/L2dgDKU.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/L2dgDKU.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:27	7980/7980	---M--	200	added ('OK')	image/png	etag:%2274f52e3bbdc4e414958c87de39da3317%22	https://i.imgur.com/07QaV0T.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/07QaV0T.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:27	11432/11432	---M--	200	added ('OK')	image/png	etag:%22179c4ed024873619950ace1dd422e2cb%22	https://i.imgur.com/HCULsAn.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/HCULsAn.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:27	82116/82116	---M--	200	added ('OK')	image/png	etag:%22d479928df134a26349d6b1f13f3ea4bf%22	https://i.imgur.com/BEWFpN3.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/BEWFpN3.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:28	46005/46005	---M--	200	added ('OK')	image/png	etag:%22fdc793be060b71c00c6657c99f65edba%22	https://i.imgur.com/BX8RsB5.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/BX8RsB5.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:28	16488/16488	---M--	200	added ('OK')	image/png	etag:%22da0702bbdf8b64cc0889a2e76eda5036%22	https://i.imgur.com/n5W2Aa2.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/n5W2Aa2.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:30	63135/63135	---M--	200	added ('OK')	image/png	etag:%224f15c3e0c53f929533b81428169fb142%22	https://i.imgur.com/rzMrUOU.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/rzMrUOU.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:30	53677/53677	---M--	200	added ('OK')	image/png	etag:%221cd1ae4bc8e609e1730665dd709565d2%22	https://i.imgur.com/QEOjy7G.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/QEOjy7G.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:30	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:32%20GMT	https://affiliaya.github.io/offerus/wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.3.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-content/themes/astra/assets/js/minified/style.min.20531b.delayed	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:30	93510/93510	---M--	200	added ('OK')	image/png	etag:%22b2bce806460d4daed85c4fdaba7b1274%22	https://i.imgur.com/UFwkCwR.png	F:/Website%20Code%20Copy/Sasoutbreak/i.imgur.com/UFwkCwR.png	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:30	10335/10335	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e8477a5-285f%22	https://affiliaya.itproffer.design/wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.3.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-content/themes/astra/assets/js/minified/style.min531b.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:31	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:33%20GMT	https://affiliaya.github.io/offerus/wp-includes/js/imagesloaded.min.js?ver=3.2.0	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-includes/js/imagesloaded.min.2255a0.delayed	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:31	8113/8113	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e8477a5-1fb1%22	https://affiliaya.itproffer.design/wp-includes/js/imagesloaded.min.js?ver=3.2.0	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-includes/js/imagesloaded.min55a0.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:31	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:33%20GMT	https://affiliaya.github.io/offerus/wp-includes/js/masonry.min.js?ver=3.3.2	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-includes/js/masonry.mind617.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:32	28953/28953	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e8477a5-7119%22	https://affiliaya.itproffer.design/wp-includes/js/masonry.min.js?ver=3.3.2	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-includes/js/masonry.mind617.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:32	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:34%20GMT	https://affiliaya.github.io/offerus/wp-includes/js/jquery/jquery.masonry.min.js?ver=3.1.2b	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-includes/js/jquery/jquery.masonry.minef70.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:32	1819/1819	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e8477a5-71b%22	https://affiliaya.itproffer.design/wp-includes/js/jquery/jquery.masonry.min.js?ver=3.1.2b	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-includes/js/jquery/jquery.masonry.minef70.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:32	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:34%20GMT	https://affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/editor/js/dist/frontend.min.js?ver=2.4.9.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/editor/js/dist/frontend.min7fc7.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:33	131235/131235	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e8477a5-200a3%22	https://affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/editor/js/dist/frontend.min.js?ver=2.4.9.4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/editor/js/dist/frontend.min7fc7.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:33	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:35%20GMT	https://affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/thrive-dashboard/js/dist/frontend.min.js?ver=2.2.11.2	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-content/plugins/thrive-visual-editor/thrive-dashboard/js/dist/frontend.minddfc.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:33	1832/1832	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e8477a5-728%22	https://affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/thrive-dashboard/js/dist/frontend.min.js?ver=2.2.11.2	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/thrive-dashboard/js/dist/frontend.minddfc.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:33	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Apr%202020%2013:47:35%20GMT	https://affiliaya.github.io/offerus/wp-includes/js/wp-embed.min.js?ver=5.3.2	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.github.io/offerus/wp-includes/js/wp-embed.min9dff.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:34	1399/1399	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e8477a5-577%22	https://affiliaya.itproffer.design/wp-includes/js/wp-embed.min.js?ver=5.3.2	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-includes/js/wp-embed.min9dff.js	(from https://affiliaya.itproffer.design/superaffoutbreak/)
19:48:34	6204/6204	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e8477a5-183c%22	https://affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoon.eot?jtzdu4	F:/Website%20Code%20Copy/Sasoutbreak/affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/editor/css/fonts/thrvicomoon/icomoonf2e9.eot	(from https://affiliaya.itproffer.design/wp-content/plugins/thrive-visual-editor/editor/css/thrive_flat.css?ver=2.4.9.4)
